Order_ID,Order_Date,Customer_Name,Customer_Segment,Country,Region,Product_Category,Product_Name,Quantity,Unit_Price,Discount_Percent,Total_Sales,Shipping_Cost,Profit,Payment_Method,Expected_Total_Sales,Recorded_Total_Sales,Sales_Match,Year,Month,Month_Name,Quarter,Profit_Margin,Shipping_Cost_Ratio
ORD-11121,2023-01-02,Karen Suzuki,Corporate,United States,North America,Technology,Wireless Bluetooth Headphones,3,99.43,0,298.29,9.31,124.92,Cash On Delivery,298.29,298.29,True,2023,1,January,1,0.4187870863924369,0.031211237386436018
ORD-11244,2023-01-02,John Johansson,Corporate,Spain,Europe,Technology,Mechanical Gaming Keyboard,4,97.93,20,313.38,14.31,83.62,Cash On Delivery,313.38,313.38,True,2023,1,January,1,0.26683259940008935,0.0456634118322803
ORD-10325,2023-01-03,Jessica Garcia,Consumer,Mexico,North America,Office Supplies,Binder Clips Assorted 48pc,2,10.74,0,21.48,8.12,3.69,Credit Card,21.48,21.48,True,2023,1,January,1,0.1717877094972067,0.37802607076350087
ORD-10467,2023-01-03,Clara Taylor,Corporate,Italy,Europe,Technology,Webcam HD 1080p,2,61.86,15,105.16,10.79,26.32,Paypal,105.16,105.16,True,2023,1,January,1,0.2502852795739825,0.10260555344237351
ORD-11454,2023-01-05,Felix Thomas,Consumer,Italy,Europe,Furniture,Standing Desk Converter,4,330.67,20,1058.14,11.09,253.44,Credit Card,1058.14,1058.14,True,2023,1,January,1,0.2395146199935736,0.010480654733778138
ORD-11746,2023-01-05,Fatima Suzuki,Consumer,Mexico,North America,Furniture,Bookshelf 5-Tier,1,61.93,10,55.74,5.88,12.7,Paypal,55.74,55.74,True,2023,1,January,1,0.22784355938284892,0.10548977395048438
ORD-11162,2023-01-06,Felix Rodriguez,Home Office,United States,North America,Office Supplies,Premium Notebook Set A5,2,15.03,5,28.56,6.59,8.44,Paypal,28.56,28.56,True,2023,1,January,1,0.29551820728291317,0.23074229691876752
ORD-11271,2023-01-06,Ayumi Ferrari,Home Office,Nigeria,Middle East & Africa,Technology,Laptop Stand Adjustable,2,33.91,10,61.04,14.38,9.36,Bank Transfer,61.04,61.04,True,2023,1,January,1,0.15334207077326342,0.23558322411533422
ORD-11702,2023-01-06,Thomas Smith,Consumer,China,Asia Pacific,Furniture,Standing Desk Converter,2,334.11,5,634.81,11.92,221.96,Bank Transfer,634.81,634.81,True,2023,1,January,1,0.3496479261511319,0.018777271939635482
ORD-10847,2023-01-07,Ali Rodriguez,Consumer,Saudi Arabia,Middle East & Africa,Furniture,Folding Table Portable,1,58.77,5,55.83,12.03,8.54,Credit Card,55.83,55.83,True,2023,1,January,1,0.15296435608096004,0.21547555077915098
ORD-10446,2023-01-08,Raj Martinez,Corporate,Colombia,South America,Clothing & Accessories,Leather Wallet Minimalist,2,38.91,15,66.15,14.25,12.99,Credit Card,66.15,66.15,True,2023,1,January,1,0.1963718820861678,0.21541950113378683
ORD-11499,2023-01-08,Kenji Rossi,Corporate,Spain,Europe,Office Supplies,Paper Clips Box 500pc,3,7.8,10,21.06,12.61,-2.08,Cash On Delivery,21.06,21.06,True,2023,1,January,1,-0.09876543209876544,0.5987654320987654
ORD-10271,2023-01-09,Mary Khan,Corporate,United Kingdom,Europe,Technology,Webcam HD 1080p,1,48.73,10,43.86,8.11,8.95,Credit Card,43.86,43.86,True,2023,1,January,1,0.20405836753305973,0.184906520747834
ORD-11356,2023-01-12,Maria Tanaka,Consumer,Colombia,South America,Clothing & Accessories,Travel Backpack 30L,1,59.48,0,59.48,11.42,18.32,Credit Card,59.48,59.48,True,2023,1,January,1,0.30800268997982516,0.19199731002017487
ORD-10793,2023-01-13,Zara Brown,Corporate,Italy,Europe,Office Supplies,Tape Dispenser Heavy Duty,1,15.82,0,15.82,9.16,-0.46,Paypal,15.82,15.82,True,2023,1,January,1,-0.029077117572692796,0.5790139064475348
ORD-11330,2023-01-13,Marco Moreau,Corporate,Japan,Asia Pacific,Clothing & Accessories,Business Casual Blazer,3,51.92,30,109.03,13.39,17.76,Paypal,109.03,109.03,True,2023,1,January,1,0.16289094744565716,0.12281023571494085
